start,stop,known,ambigious,location
22946.0,22957.0,0,1,N
30213.0,30218.0,0,1,N
30264.0,30270.0,0,-1,N
33231.0,33237.0,0,1,N
33358.0,33364.0,0,1,N
36579.0,36590.0,0,1,N
37524.0,37531.0,0,1,N
38245.0,38254.0,0,-1,N
38245.0,38254.0,0,-1,N
46170.0,46180.0,0,-1,N
46170.0,46180.0,0,-1,N
46542.0,46549.0,0,1,N
46710.0,46715.0,0,1,N
46721.0,46729.0,0,-1,N
46814.0,46821.0,0,-1,N
47702.0,47744.0,0,0,N
47702.0,47744.0,0,0,N
47921.0,47928.0,0,1,N
48912.0,48920.0,0,1,N
48912.0,48920.0,0,1,N
49084.0,49096.0,0,-1,N
49753.0,49769.0,0,0,N
51481.0,51500.0,0,-1,N
51613.0,51621.0,0,1,N
51704.0,51712.0,0,-1,N
53530.0,53540.0,0,1,N
53530.0,53540.0,0,1,N
53542.0,53550.0,0,1,N
53584.0,53599.0,0,-1,N
53584.0,53599.0,0,-1,N
53665.0,53674.0,0,-1,N
55621.0,55632.0,0,-1,N
58292.0,58301.0,0,1,N
58944.0,58964.0,0,-1,N
60334.0,60342.0,0,1,N
60488.0,60493.0,0,1,N
60618.0,60624.0,0,-1,N
61721.0,61735.0,0,-1,N
62276.0,62280.0,0,1,N
65014.0,65028.0,0,-1,N
65014.0,65028.0,0,-1,N
74644.0,74651.0,0,-1,N
77423.0,77428.0,0,1,N
77541.0,77548.0,0,-1,N
