start,stop,known,ambigious,location
22980.0,22985.0,0,-1,SE
22996.0,23000.0,0,1,SE
30085.0,30090.0,0,1,SE
30969.0,30973.0,0,1,SE
32774.0,32778.0,0,1,SE
33515.0,33519.0,0,-1,SE
33885.0,33889.0,0,1,SE
39171.0,39177.0,0,-1,SE
44134.0,44140.0,0,-1,SE
44608.0,44616.0,0,-1,SE
46295.0,46299.0,0,1,SE
48682.0,48686.0,0,1,SE
49200.0,49206.0,0,-1,SE
49588.0,49592.0,0,1,SE
49837.0,49844.0,0,-1,SE
50757.0,50761.0,0,1,SE
51597.0,51603.0,0,1,SE
53627.0,53634.0,0,-1,SE
53711.0,53716.0,0,1,SE
53711.0,53716.0,0,1,SE
55366.0,55370.0,0,1,SE
55439.0,55448.0,0,-1,SE
55439.0,55448.0,0,-1,SE
55439.0,55448.0,0,-1,SE
57877.0,57882.0,0,-1,SE
58644.0,58651.0,0,-1,SE
58955.0,58961.0,0,-1,SE
59973.0,59980.0,0,-1,SE
