start,stop,known,ambigious,location
23035.0,23040.0,0,-1,SW
32076.0,32080.0,0,1,SW
33681.0,33686.0,0,-1,SW
35470.0,35475.0,0,1,SW
40967.0,40969.0,0,0,SW
40991.0,40998.0,0,0,SW
41004.0,41011.0,0,-1,SW
41359.0,41365.0,0,1,SW
41879.0,41885.0,0,1,SW
42636.0,42644.0,0,-1,SW
42878.0,42883.0,0,1,SW
42943.0,42950.0,0,-1,SW
46548.0,46553.0,0,-1,SW
48507.0,48512.0,0,1,SW
48574.0,48581.0,0,-1,SW
48676.0,48689.0,0,1,SW
49007.0,49012.0,0,1,SW
49727.0,49733.0,0,1,SW
51996.0,52005.0,0,1,SW
53564.0,53580.0,0,0,SW
54317.0,54327.0,0,1,SW
54579.0,54584.0,0,1,SW
55566.0,55578.0,0,0,SW
55581.0,55586.0,0,0,SW
58686.0,58694.0,0,-1,SW
61269.0,61276.0,0,1,SW
61391.0,61393.0,0,0,SW
61664.0,61683.0,0,0,SW
61664.0,61683.0,0,0,SW
61878.0,61886.0,0,0,SW
63199.0,63207.0,0,-1,SW
63351.0,63364.0,0,0,SW
63408.0,63412.0,0,0,SW
66697.0,66705.0,0,0,SW
66740.0,66749.0,0,-1,SW
66790.0,66795.0,0,1,SW
68358.0,68364.0,0,1,SW
70469.0,70477.0,0,-1,SW
72209.0,72214.0,0,1,SW
79995.0,80001.0,0,-1,SW
